instance,failed,satisfaction,reported,low,high,width
29,S1,0.6259541984732824,0.339622641509434,0.339622641509434,0.33962266037735844,1.886792444505403e-08
29,S2,0.8244274809160306,0.5660377358490566,0.5660377358490566,0.5660377547169811,1.8867924556076332e-08
29,S3,0.8549618320610687,0.6415094339622642,0.6415094339622642,0.6415094528301887,1.886792444505403e-08
29,F1,0.43511450381679384,0.0,0.0,1.886792444505403e-08,1.886792444505403e-08
29,F2,0.732824427480916,0.339622641509434,0.339622641509434,0.339622641509434,0.0
29,F3,0.8931297709923665,0.7358490566037736,0.7358490566037736,0.7358490566037736,0.0
29,W1,0.8625954198473282,0.6603773584905661,0.6603773584905661,0.6603773584905661,0.0
29,W2,0.8778625954198473,0.6981132075471699,0.6981132075471699,0.6981132075471699,0.0
29,W3,0.9236641221374046,0.2857142857142857,0.2857142857142857,0.28571432142857145,3.571428575099844e-08
29,W4,0.633587786259542,0.0,0.0,0.5200000214285714,0.5200000214285714
30,S1,0.9223300970873787,0.8333333333333334,0.7575757575757576,0.9012345727272727,0.14365881515151513
30,S2,0.6504854368932038,0.4545454545454546,0.0,0.6504854242424243,0.6504854242424243
30,S3,0.6990291262135923,0.5,0.06060606060606055,0.699029125,0.6384230643939395
30,F1,0.7864077669902912,0.33333333333333337,0.33333333333333337,0.7283950625,0.3950617291666666
30,F2,0.912621359223301,0.8125,0.7272727272727273,0.888888893939394,0.16161616666666667
30,F3,0.7864077669902912,0.33333333333333337,0.33333333333333337,0.7283950625,0.3950617291666666
30,W1,0.9320388349514563,0.7878787878787878,0.7878787878787878,0.9135802520833334,0.12570146420454553
30,W2,0.7378640776699029,0.48484848484848486,0.4375,0.6666666666666667,0.22916666666666674
30,W3,0.7087378640776699,0.2727272727272727,0.0,0.7087378541666667,0.7087378541666667
30,W4,0.883495145631068,0.6363636363636364,0.6363636363636364,0.8518518575757575,0.2154882212121212
31,S1,0.5507246376811594,0.4193548387096774,0.2580644838709677,0.41935487096774193,0.16129038709677423
31,S2,0.6376811594202898,0.5357142857142857,0.2580644838709677,0.5762711785714285,0.3182066947004608
31,S3,0.8985507246376812,0.7741935483870968,0.7741935483870968,0.7741935806451613,3.225806455287028e-08
31,F1,0.6086956521739131,0.3214285714285714,0.2580644838709677,0.542372870967742,0.2843083870967743
31,F2,0.9710144927536232,0.935483870967742,0.935483870967742,0.9354838806451613,9.677419310349933e-09
31,F3,0.5942028985507246,0.5161290322580645,0.5161290000000001,0.5161290322580645,3.225806444184798e-08
31,W1,0.8695652173913043,0.8064516129032258,0.8064515806451613,0.8064516193548387,3.8709677352422034e-08
31,W2,0.7246376811594203,0.5357142857142857,0.5357142857142857,0.5357143214285713,3.571428563997614e-08
31,W3,0.9420289855072463,0.8709677419354839,0.8709677419354839,0.8709677516129032,9.677419310349933e-09
31,W4,0.7246376811594203,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.0
32,S1,0.7358490566037736,0.3902439024390244,0.33333329629629627,0.5882352962962962,0.25490199999999996
32,S2,0.9056603773584906,0.8292682926829268,0.8292682804878049,0.8292683170731707,3.658536584794092e-08
32,S3,0.9716981132075472,0.926829268292683,0.926829268292683,0.9268292926829268,2.4390243824612412e-08
32,S4,0.8113207547169812,0.5853658536585367,0.40740740740740744,0.7058823658536586,0.29847495844625116
32,F1,0.9528301886792453,0.9024390243902439,0.902439012195122,0.9024390487804879,3.658536584794092e-08
32,F2,0.9905660377358491,0.975609756097561,0.975609756097561,0.9756097804878049,2.4390243935634714e-08
32,F3,0.8584905660377359,0.7073170731707317,0.7073170731707317,0.7794117777777778,0.07209470460704615
32,F4,0.9622641509433962,0.9024390243902439,0.9024390243902439,0.9024390487804879,2.4390243935634714e-08
32,W1,0.9339622641509434,0.8888888888888888,0.8888888518518518,0.8888889259259259,7.407407409676381e-08
32,W2,0.6320754716981132,0.39473684210526316,0.0,0.4615384736842105,0.4615384736842105
32,W3,0.7264150943396226,0.29268292682926833,0.29268292682926833,0.29268295121951227,2.4390243935634714e-08
32,W4,0.9339622641509434,0.8888888888888888,0.8888888888888888,0.8888889259259259,3.7037037103893056e-08
33,S1,0.7789473684210526,0.0,0.0,8.33333332339592e-08,8.33333332339592e-08
33,S2,0.6,0.0,0.0,8.33333332339592e-08,8.33333332339592e-08
33,S3,0.7684210526315789,0.0,0.0,8.33333332339592e-08,8.33333332339592e-08
33,F1,0.8842105263157894,0.08333333333333337,0.08333333333333337,0.0833334166666666,8.33333332339592e-08
33,F2,0.9052631578947369,0.25,0.25,0.2500000416666667,4.166666667249075e-08
33,F3,0.9578947368421052,0.6666666666666667,0.6666666666666667,0.6666667083333333,4.1666666561468446e-08
33,F4,0.9578947368421052,0.6666666666666667,0.6666666666666667,0.6666667083333333,4.1666666561468446e-08
33,W1,0.6842105263157895,0.0,0.0,8.33333332339592e-08,8.33333332339592e-08
33,W2,0.968421052631579,0.75,0.75,0.750000025,2.4999999959085528e-08
33,W3,0.8736842105263158,0.0,0.0,8.33333332339592e-08,8.33333332339592e-08
33,W4,0.8210526315789474,0.0,0.0,0.0,0.0
34,S1,0.7125,0.45238095238095233,0.45238095238095233,0.45238097619047624,2.380952390801383e-08
34,S2,0.6375,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.0
34,S3,0.85,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
34,F1,0.85,0.7142857142857143,0.7142857142857143,0.7142857380952381,2.3809523796991527e-08
34,F2,0.85,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
34,F3,0.5875,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.0
