instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
34,F2,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0,1,0.7142857142857143,0.7142857142857143,0,1
34,F3,0.2142857142857143,20,0.2142857142857143,0.2142857142857143,0,1,0.2142857142857143,0.2142857142857143,0,1
34,F4,0.7380952380952381,20,0.7380952380952381,0.7380952380952381,0,1,0.7380952380952381,0.7380952380952381,0,1
34,S1,0.45238095238095233,20,0.45238095238095233,0.45238095238095233,0,1,0.45238095238095233,0.45238095238095233,0,1
34,S2,0.30952380952380953,20,0.30952380952380953,0.30952380952380953,0,1,0.30952380952380953,0.30952380952380953,0,1
34,S3,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0,1,0.7142857142857143,0.7142857142857143,0,1
34,W1,0.6190476190476191,20,0.6190476190476191,0.6190476190476191,0,1,0.6190476190476191,0.6190476190476191,0,1
34,W2,0.7619047619047619,20,0.7619047619047619,0.7619047619047619,0,1,0.7619047619047619,0.7619047619047619,0,1
34,W3,0.40476190476190477,20,0.40476190476190477,0.40476190476190477,0,1,0.40476190476190477,0.40476190476190477,0,1
34,W4,0.5238095238095238,20,0.5238095238095238,0.5238095238095238,0,1,0.5238095238095238,0.5238095238095238,0,1
36,F1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
36,F2,0.8833333333333333,20,0.5882352941176471,0.8833333333333333,0,3,0.5882352941176471,0.8833333333333333,0,3
36,F3,0.7,20,0.0,0.7,6,3,0.0,0.7,5,3
36,S1,0.7,20,0.0,0.7,8,2,0.0,0.7,9,2
36,S2,0.8235294117647058,20,0.4117647058823529,0.8333333333333334,0,3,0.4117647058823529,0.8333333333333334,0,3
36,S3,0.7666666666666666,20,0.0,0.7666666666666666,9,2,0.0,0.7666666666666666,11,2
36,W1,0.8166666666666667,20,0.3529411764705882,0.8166666666666667,0,2,0.3529411764705882,0.8166666666666667,0,2
36,W2,0.33333333333333337,20,0.0,0.33333333333333337,5,3,0.0,0.33333333333333337,8,3
36,W3,0.0,20,0.0,0.5,17,2,0.0,0.5,18,2
37,F1,0.7021276595744681,20,0.7021276595744681,0.7021276595744681,0,1,0.7021276595744681,0.7021276595744681,0,1
37,F2,0.6808510638297872,20,0.6808510638297872,0.6808510638297872,0,1,0.6808510638297872,0.6808510638297872,0,1
37,F3,0.07692307692307687,20,0.07692307692307687,0.07692307692307687,0,1,0.07692307692307687,0.7446808510638299,0,2
37,F4,0.7659574468085106,20,0.7659574468085106,0.7659574468085106,0,1,0.7659574468085106,0.7659574468085106,0,1
37,S1,0.8936170212765957,20,0.8936170212765957,0.8936170212765957,0,1,0.8936170212765957,0.8936170212765957,0,1
37,S2,0.9361702127659575,20,0.9361702127659575,0.9361702127659575,0,1,0.9361702127659575,0.9361702127659575,0,1
37,S3,0.5531914893617021,20,0.5531914893617021,0.5531914893617021,0,1,0.5531914893617021,0.5531914893617021,0,1
37,S4,0.6595744680851063,20,0.6595744680851063,0.6595744680851063,0,1,0.5957446808510638,0.6595744680851063,0,2
37,W1,0.6382978723404256,20,0.6382978723404256,0.6382978723404256,0,1,0.6382978723404256,0.6382978723404256,0,1
37,W2,0.7692307692307692,20,0.7692307692307692,0.7692307692307692,0,1,0.7692307692307692,0.9361702127659575,0,2
37,W3,0.851063829787234,20,0.851063829787234,0.851063829787234,0,1,0.851063829787234,0.851063829787234,0,1
38,F1,0.8372093023255813,20,0.8372093023255813,0.8372093023255813,0,1,0.8372093023255813,0.8372093023255813,0,1
38,F2,0.023255813953488413,20,0.023255813953488413,0.023255813953488413,0,1,0.023255813953488413,0.023255813953488413,0,1
38,F3,0.627906976744186,20,0.627906976744186,0.627906976744186,0,1,0.627906976744186,0.627906976744186,0,1
38,F4,0.11627906976744184,20,0.11627906976744184,0.11627906976744184,0,1,0.11627906976744184,0.11627906976744184,0,1
38,S1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
38,S2,0.2790697674418605,20,0.2790697674418605,0.2790697674418605,0,1,0.2790697674418605,0.2790697674418605,0,1
38,S3,0.813953488372093,20,0.813953488372093,0.813953488372093,0,1,0.813953488372093,0.813953488372093,0,1
38,S4,0.2325581395348837,20,0.2325581395348837,0.2325581395348837,0,1,0.2325581395348837,0.2325581395348837,0,1
